Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1112292774428152,2025-09-26 13:10:03,https://www.facebook.com/1115814590742637/posts/1112292774428152,2025-12-16,0,0,0,55,1808,0,0,0,18,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_2263017100887631,2025-09-24 17:30:03,https://www.facebook.com/events/2263017100887631/,2025-12-16,0,0,0,11,506,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1105779671746129,2025-09-18 18:30:12,https://www.facebook.com/1115814590742637/posts/1105779671746129,2025-12-16,0,0,0,2247,74554,0,0,0,182,2,4,1,0,0,2026-01-15 14:58:28
103640919705348_1104896365167793,2025-09-17 17:01:48,https://www.facebook.com/1115814590742637/posts/1104896365167793,2025-12-16,0,0,0,59,1314,0,0,0,27,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1103303611993735,2025-09-15 18:01:12,https://www.facebook.com/1115814590742637/posts/1103303611993735,2025-12-16,0,0,0,74,1852,0,0,0,42,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1100089485648481,2025-09-11 18:01:01,https://www.facebook.com/1115814590742637/posts/1100089485648481,2025-12-16,0,0,0,14,727,0,0,0,14,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_2928401387366641,2025-09-10 17:56:29,https://www.facebook.com/1115814590742637/posts/2928401387366641?substory_index=2928401387366641,2025-12-16,0,0,0,24,546,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1098498562474240,2025-09-09 17:37:29,https://www.facebook.com/1115814590742637/posts/1098498562474240,2025-12-16,0,0,0,14,675,0,0,0,11,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1097768179213945,2025-09-08 18:30:08,https://www.facebook.com/1115814590742637/posts/1097768179213945,2025-12-16,0,0,0,22,782,0,0,0,14,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1095468532777243,2025-09-05 18:00:40,https://www.facebook.com/1115814590742637/posts/1095468532777243,2025-12-16,0,0,0,56,1148,0,0,0,19,1,0,0,0,0,2026-01-15 14:58:28
103640919705348_1093193623004734,2025-09-02 18:00:43,https://www.facebook.com/1115814590742637/posts/1093193623004734,2025-12-16,0,0,0,82,1177,0,0,0,28,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1090118449978918,2025-08-29 17:00:05,https://www.facebook.com/1115814590742637/posts/1090118449978918,2025-12-16,0,0,0,102,1723,0,0,0,41,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1088594283464668,2025-08-27 18:00:32,https://www.facebook.com/1115814590742637/posts/1088594283464668,2025-12-16,0,0,0,245,20291,0,0,0,57,1,0,1,0,0,2026-01-15 14:58:28
103640919705348_1087745360216227,2025-08-26 17:30:08,https://www.facebook.com/1115814590742637/posts/1087745360216227,2025-12-16,0,0,0,60,1400,0,0,0,23,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1085444810446282,2025-08-23 20:46:08,https://www.facebook.com/1115814590742637/posts/1085444810446282,2025-12-16,0,0,0,2146,17741,0,0,0,589,5,1,6,0,3,2026-01-15 14:58:28
103640919705348_1084481390542624,2025-08-22 17:00:14,https://www.facebook.com/1115814590742637/posts/1084481390542624,2025-12-16,0,0,0,230,2835,0,0,0,98,2,0,3,0,0,2026-01-15 14:58:28
103640919705348_1083868363937260,2025-08-21 22:15:04,https://www.facebook.com/1115814590742637/posts/1083868363937260,2025-12-16,0,0,0,109,1597,0,0,0,43,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1083796177277812,2025-08-21 20:30:01,https://www.facebook.com/1115814590742637/posts/1083796177277812,2025-12-16,0,0,0,487,5085,0,0,0,106,0,1,2,0,0,2026-01-15 14:58:28
103640919705348_1083689983955098,2025-08-21 17:30:04,https://www.facebook.com/1115814590742637/posts/1083689983955098,2025-12-16,0,0,0,5513,64523,0,0,0,1815,6,5,3,12,5,2026-01-15 14:58:28
103640919705348_1082843684039728,2025-08-20 15:30:03,https://www.facebook.com/1115814590742637/posts/1082843684039728,2025-12-16,0,0,0,184,2243,0,0,0,82,1,0,1,0,0,2026-01-15 14:58:28
103640919705348_1082752627382167,2025-08-20 12:32:02,https://www.facebook.com/1115814590742637/posts/1082752627382167,2025-12-16,0,0,0,285,4090,0,0,0,101,0,0,3,0,0,2026-01-15 14:58:28
103640919705348_1082671217390308,2025-08-20 10:06:11,https://www.facebook.com/1115814590742637/posts/1082671217390308,2025-12-16,0,0,0,29,726,0,0,0,18,0,0,1,0,0,2026-01-15 14:58:28
103640919705348_1266473118077558,2025-08-19 20:00:02,https://www.facebook.com/events/1266473118077558/,2025-12-16,0,0,0,17,676,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1082096174114479,2025-08-19 17:30:12,https://www.facebook.com/1115814590742637/posts/1082096174114479,2025-12-16,0,0,0,85,1760,0,0,0,35,1,0,1,0,0,2026-01-15 14:58:28
103640919705348_1080441484279948,2025-08-17 16:01:05,https://www.facebook.com/1115814590742637/posts/1080441484279948,2025-12-16,0,0,0,142,1744,0,0,0,60,0,1,5,0,0,2026-01-15 14:58:28
103640919705348_1079629411027822,2025-08-16 16:01:39,https://www.facebook.com/1115814590742637/posts/1079629411027822,2025-12-16,0,0,0,315,2693,0,0,0,85,0,0,3,0,1,2026-01-15 14:58:28
103640919705348_1078547991135964,2025-08-15 09:30:31,https://www.facebook.com/1115814590742637/posts/1078547991135964,2025-12-16,0,0,0,271,4957,0,0,0,88,1,1,3,0,0,2026-01-15 14:58:28
103640919705348_1077995631191200,2025-08-14 18:10:04,https://www.facebook.com/1115814590742637/posts/1077995631191200,2025-12-16,0,0,0,97,2354,0,0,0,62,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1077895697867860,2025-08-14 15:10:04,https://www.facebook.com/1115814590742637/posts/1077895697867860,2025-12-16,0,0,0,125,2057,0,0,0,29,0,0,3,0,0,2026-01-15 14:58:28
103640919705348_1077311114592985,2025-08-13 21:15:37,https://www.facebook.com/1115814590742637/posts/1077311114592985,2025-12-16,0,0,0,1381,18554,0,0,0,1255,8,0,0,3,0,2026-01-15 14:58:28
103640919705348_1077171084606988,2025-08-13 18:00:11,https://www.facebook.com/1115814590742637/posts/1077171084606988,2025-12-16,0,0,0,108,2099,0,0,0,76,0,0,3,0,0,2026-01-15 14:58:28
103640919705348_1123350969647506,2025-08-13 15:01:53,https://www.facebook.com/events/1123350969647506/,2025-12-16,0,0,0,18,650,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1076414771349286,2025-08-12 19:01:39,https://www.facebook.com/1115814590742637/posts/1076414771349286,2025-12-16,0,0,0,8770,56518,0,0,0,1507,21,4,731,1,6,2026-01-15 14:58:28
